phase,amplitude
0.4310294744,1.125747189
0.9615787929,0.9245639771
0.5645319205,1.039133722
0.03504732158,0.8106037084
0.2380672758,1.055879045
0.6427621599,0.8937613845
0.7583485534,1.166717366
0.3530095201,0.9834968004
0.2564364644,1.006082976
0.8509543203,0.8439836029
0.7479101764,1.116536775
0.1525115408,0.9333467036
0.07427748665,1.17557337
0.5448940368,0.9744084451
0.9289704598,1.089332217
0.4596705185,0.8608326972
0.4813440302,1.078059734
0.8877664357,0.872214748
0.5231251502,1.188309066
0.1155768707,0.9613672782
0.1625874192,1.103589557
0.6948643783,0.9461851224
0.8410272077,1.017565079
0.3093334818,0.8328077395
0.3312301431,1.153781306
0.7996603353,0.9963463772
0.6644537915,1.067347892
0.1968432246,0.882572265
0.02510781121,1.027849318
0.6174394283,0.8219738383
0.9716746984,1.138495378
0.3779655565,0.9115353033
0.3934078859,1.046256486
0.9874813892,0.8036639486
0.6030994924,1.132686841
0.008198734373,0.9174411058
0.2111879326,1.172094626
0.681360011,0.9779365364
0.7842208706,1.061439416
0.3154186876,0.8883842319
0.2940103095,1.121901709
0.8250994673,0.9277741611
0.7093291935,1.011655435
0.1793735391,0.8386185858
0.1011092057,1.09646726
0.5063438099,0.8539052635
0.9030848509,1.182500887
0.4972746428,0.967273486
0.4447145034,1.19388152
0.9126774548,0.9560022552
0.5587475393,1.083424674
0.09167299699,0.8666422114
0.1386532662,1.024492602
0.7305175234,0.8256727863
0.8659074707,1.110724594
0.2727342341,0.9392576829
0.3678424442,1.07428755
0.774766542,0.8754493997
0.6287874738,1.160904064
0.2207910269,0.9894066114
0.04902485758,1.144055744
0.5818033898,0.9061581448
0.946750626,1.033226584
0.4146086136,0.8164135803
0.4078753786,1.059140504
0.9378576763,0.8907924656
0.5887507321,1.169777408
0.05770371482,0.9803386718
0.2296837457,1.134965679
0.6355204778,0.9150520895
0.7660879306,1.048541421
0.3608953478,0.801293236
0.2796729933,1.184810576
0.8745930037,0.9648786992
0.7237928715,1.098770839
0.1297536409,0.8514921609
0.0829877099,1.009363151
0.5518090259,0.8409968257
0.9215768492,1.119627741
0.4514389243,0.9301585112
0.48834485,1.106779133
0.8963908283,0.9430928696
0.5149984602,1.020553239
0.1080783559,0.8295262769
0.1860677926,1.087401654
0.7182592172,0.8627748389
0.8181300713,1.197840194
0.2853554133,0.9521287844
0.3240666622,1.037161078
0.7911986038,0.812564756
0.6724368939,1.148008554
0.204485327,0.9023154307
0.001220755279,1.156940721
0.5944512719,0.9932849512
0.9941842258,1.070318099
0.402331234,0.8793094236
0.3849348333,1.162849957
0.9803297138,0.9874737442
0.610745294,1.052005539
0.01617766824,0.8977200244
0.1881884551,1.042968848
0.6574847605,0.8066581875
0.8085902473,1.129600621
0.3379240464,0.9206245545
0.3026307644,1.093210593
0.8321037404,0.856869391
0.7018422382,1.179433429
0.1712357588,0.9704390287
0.124500107,1.112688011
0.5298276367,0.9372812573
0.879118342,1.002240321
0.4743664162,0.8479364723
0.4683490107,1.015176098
0.9359176755,0.8350866124
0.5360014373,1.101218881
0.06754436344,0.9484700937
0.1455640793,1.190717359
0.7392314384,0.959068425
0.8576876745,1.08046193
0.2653292948,0.869897591
0.3441102449,1.140873583
0.7516240133,0.9092429835
0.6514473278,1.030233632
0.2450059084,0.8196998343
0.04177209269,1.064953046
0.5734314267,0.8848818947
0.9546399144,1.151368143
0.4223440606,0.9986498967
0.4279833492,1.010773835
0.9606573945,0.8393053982
0.5752340835,1.124346524
0.04393768217,0.9255251825
0.2469230657,1.183377004
0.6534984168,0.9665930156
0.7573930612,1.094029167
0.3499979656,0.8561483771
0.2593146833,1.133568728
0.852043625,0.9167541981
0.7370706247,1.043811956
0.1437585689,0.8059128318
0.0654980503,1.060563394
0.5340814264,0.8890644163
0.9300328232,1.174532813
0.4625752019,0.9756931368
0.4726409474,1.161584725
0.8769995421,0.9885310668
0.5241110409,1.072044627
0.1184359565,0.8778880641
0.1654200405,1.032539963
0.6958772102,0.8172957528
0.8302333727,1.146304913
0.3006568635,0.9037139013
0.3400399778,1.082743917
0.810320477,0.867518042
0.6635441352,1.196124347
0.1939079044,0.9535638768
0.02213792037,1.111410929
0.6165638659,0.9383756056
0.9823007463,1.022243147
0.3868099619,0.8281171251
0.4040795909,1.117223683
0.9962801374,0.9324648172
0.6001449795,1.003834093
0.007307793945,0.8464281324
0.2103239335,1.088652033
0.6783790337,0.8617087185
0.7930460833,1.17781677
0.3260634514,0.9719702575
0.2832623702,1.03844691
0.8163769534,0.8114853088
0.7121769544,1.127996168
0.1803712314,0.9221191615
0.1021409919,1.167397836
0.5091570001,0.9826206837
0.8943969076,1.053635931
0.4864926096,0.8961994767
0.4457920063,1.066472061
0.9155669985,0.8832530215
0.5500139985,1.156219684
0.08081449103,0.9941035498
0.1278288541,1.139377455
0.7217494119,0.9108489677
0.8688315852,1.02540498
0.2737776432,0.8242232937
0.36690233,1.189184611
0.7717396095,0.960686617
0.6376889208,1.07562107
0.2314816266,0.8744576707
0.05974239856,1.016682907
0.5906783724,0.8334943611
0.943750158,1.106033801
0.413641558,0.9439359531
0.4206108348,1.180119717
0.9524051733,0.9695569038
0.5839842381,1.09096109
0.05081225559,0.8593136821
0.2228268571,1.001559517
0.6307198899,0.8488122553
0.7806695215,1.114930791
0.3735962333,0.9348428313
0.2670749258,1.051318965
0.8599081179,0.8986022446
0.7287272718,1.165099174
0.1364771938,0.9850295484
0.08973772731,1.13028133
0.5567164849,0.9197490577
0.9069189047,1.040725973
0.4388143923,0.8090968996
0.4951711018,1.029357658
0.9013441233,0.8203800663
0.5002644006,1.143311818
0.09540786874,0.9069996316
0.1734237699,1.152250077
0.7034982163,0.9979630366
0.8231103076,1.062508564
0.2921552006,0.8871308256
0.3171641761,1.10209495
0.7863215432,0.9477895755
0.6870642016,1.012737958
0.2172625661,0.8373296782
0.01403256506,1.079580282
0.6090444857,0.8705843557
0.989341259,1.193162127
0.3953941772,0.9568193987
0.3800767269,1.097888619
0.9734077966,0.8521787349
0.6235112082,1.187254772
0.03081677761,0.9626294822
0.2028006231,1.120503238
0.6702771392,0.9294778023
0.8016418656,1.006924438
0.3330928814,0.8432397008
0.3075956227,1.170659533
0.8389189057,0.9796523839
0.6891525583,1.056696213
0.1565204151,0.8930419687
0.1097506694,1.047665638
0.5171725275,0.8019740403
0.8858989365,1.137404105
0.4793653684,0.9128093097
0.4536454091,1.148689072
0.9233388007,0.9014393616
0.5427360767,1.034918012
0.07246720046,0.8150028959
0.1504528224,1.069631334
0.7460006485,0.8801910717
0.8450742289,1.159189747
0.2506597871,0.9908401832
0.3586459402,1.019873007
0.7643707944,0.8304022506
0.6445752997,1.109022485
0.2402204601,0.9406546343
0.03695970308,1.198527054
0.566585863,0.9512468502
0.9673602311,1.085152723
0.4369066972,0.8652193207
0.4350571018,1.085576289
0.9653637102,0.8641003896
0.5685614105,1.199542655
0.03883028682,0.9507321611
0.2420949033,1.108578582
0.6465470772,0.941793235
0.7623780435,1.018824862
0.3567924853,0.8309488162
0.2526515471,1.158362396
0.8469266929,0.9915587619
0.7441272112,1.069017612
0.1484820507,0.8811110724
0.07049256936,1.035762267
0.5408664094,0.8142680809
0.9251874946,1.149331905
0.4556410285,0.9004909176
0.4773145104,1.136401087
0.8839834407,0.9133365814
0.5190975526,1.047230253
0.1117919832,0.8030811518
0.1585578993,1.057731012
0.6910813833,0.8924820576
0.8369996101,1.171114492
0.3055485943,0.9785248399
0.3350131381,1.007551518
0.8036898552,0.8423330575
0.6682386789,1.121319521
0.2008708222,0.928748155
0.02889080625,1.186599344
0.6214689482,0.9635653317
0.9754595859,1.097056196
0.3819931541,0.8529253814
0.3974374207,1.19240769
0.9912643991,0.9576597199
0.6071270751,1.078648837
0.01198360696,0.8712354619
0.2152174674,1.013459803
0.6851430209,0.8365212813
0.7882484533,1.10300601
0.3192035602,0.9471581865
0.2902272996,1.063640465
0.8210699325,0.8866714019
0.7055443209,1.15280215
0.1753459563,0.9969359919
0.0973261958,1.142209076
0.5023142751,0.9074305642
0.8992999783,1.028822537
0.4932470601,0.821390827
0.4406868909,1.041670001
0.9088925524,0.8084583759
0.5547180343,1.131023947
0.08789001685,0.9188969169
0.1346256537,1.164174768
0.726732621,0.9856475919
0.8618779657,1.050608176
0.268951254,0.8994216982
0.3716273466,1.114392075
0.7787941545,0.9358832333
0.6325704539,1.000416547
0.2248205319,0.8492606103
0.05280975997,1.091483617
0.5858310023,0.858290327
0.9505336061,1.181234291
0.4186381185,0.9691378027
0.4116602661,1.105317266
0.9418852739,0.9447619155
0.5925337272,1.015764963
0.06173323467,0.8341067065
0.2334686331,1.076357941
0.6395480754,0.8736120388
0.7698709257,1.190135099
0.3649248676,0.9600423951
0.2756453957,1.0265253
0.8708081162,0.8237976838
0.7197633516,1.139893521
0.1259706458,0.9098313108
0.0789601123,1.15508246
0.5480241384,0.994545396
0.9175473293,1.065926884
0.4476559293,0.8842991218
0.4845618848,1.054541293
0.8923613383,0.8955745488
0.5112135429,1.16812619
0.1040507285,0.9818065409
0.1822848273,1.127059025
0.7142297272,0.9227767289
0.814345154,1.037698982
0.2813277859,0.8123198841
0.3280961523,1.177287346
0.7949815691,0.9729745571
0.6764645213,1.087542781
0.2082702443,0.8621453971
0.005250245333,1.004391864
0.5982342372,0.8453946266
0.9982118532,1.118349075
0.4061161513,0.9320111394
0.3887178134,1.022704615
0.9843592187,0.8269838352
0.6145301964,1.11244003
0.02020528074,0.9378221557
0.1919714352,1.195695471
0.6615142655,0.9546652425
0.8123751497,1.081735201
0.3419516589,0.8680517748
0.2986012595,1.14546598
0.8283207603,0.9044662938
0.6978146257,1.031890233
0.1674508564,0.8182251412
0.1204706021,1.072854401
0.5260446565,0.8771641627
0.8750907294,1.162217503
0.4705815138,0.9876179624
0.4645641381,1.17349113
0.9318900928,0.9762340043
0.5322184274,1.060113746
0.06351482868,0.8902095258
0.1417792067,1.044834018
0.7352038557,0.8053924445
0.8539046645,1.133986548
0.2612997601,0.9156417757
0.3481378276,1.094665539
0.7554088859,0.8552056313
0.6554768626,1.184227005
0.2487889184,0.9658516917
0.0457996754,1.123726341
0.5772162993,0.9264508814
0.9586694492,1.00995223
0.4261270706,0.8400174681
0.4241984766,1.150558989
0.9566298118,0.9993740365
0.5714510735,1.064320888
0.03990814742,0.8857952375
0.2431381932,1.031071658
0.6494708341,0.8189461544
0.7536100512,1.141522406
0.3459684309,0.9083123077
0.263342266,1.080892094
0.8558284976,0.8687971313
0.7411001595,1.191727363
0.1475415789,0.9585355982
0.06952563301,1.100757175
0.537866299,0.9496027637
0.934062358,1.014146759
0.4663582118,0.8356394425
0.4764239276,1.002860647
0.8810290471,0.8470112979
0.5278959433,1.11350976
0.122463569,0.9365697119
0.1692030206,1.178795674
0.6999067152,0.9713807732
0.8340182751,1.092359209
0.304684476,0.8576097135
0.3360104728,1.12857956
0.8065374969,0.9211463246
0.6595165227,1.04255203
0.190123002,0.8077719927
0.01810841542,1.053046698
0.6127808858,0.8971790139
0.9782731337,1.163299081
0.3830250595,0.9863284916
0.4002966257,1.071455942
0.9922506474,0.8788678158
0.5963600622,1.157486518
0.003280166537,0.9922390893
0.2065409683,1.146887328
0.6743495436,0.9027397532
0.789261166,1.036644106
0.3220358239,0.8135811254
0.2872918602,1.197104611
0.8201599186,0.9529753223
0.7162045818,1.086452453
0.1841561487,0.8634199668
0.106170482,1.021269535
0.5129399654,0.8286996946
0.8984245351,1.107696839
0.4902775269,0.9424799044
0.4495768938,1.119070113
0.9195945961,0.9311925415
0.5537969936,1.008237901
0.08484401088,0.841451028
0.1316137416,1.09929888
0.7257770095,0.8504868601
0.8726145802,1.185918444
0.2778071631,0.9644410193
0.3628747324,1.049479565
0.767954722,0.8006370515
0.633659401,1.135714609
0.2276986316,0.914218897
0.05571480095,1.168871522
0.5868934849,0.9809634566
0.9397206381,1.058411625
0.409858563,0.8916064654
0.4165832223,1.034328707
0.9486202709,0.8159824092
0.5799547331,1.144590245
0.04702927545,0.9051471457
0.2187992446,1.159773069
0.6269349875,0.9898673225
0.7766400166,1.073736383
0.3698132532,0.8764777318
0.2708598282,1.110001461
0.8639357304,0.9400651738
0.7325102519,1.023580255
0.1405066987,0.8263032693
0.0935226297,1.084179349
0.5607440975,0.8658025101
0.9107018849,1.194813203
0.4428438973,0.9553517688
0.4992006365,1.181978217
0.9051271332,0.9682963166
0.5042919833,1.095352542
0.09919274133,0.8543238401
0.1774533046,1.012195534
0.7072812263,0.8375791851
0.8271378903,1.123046061
0.2959400732,0.9273268074
0.3133811662,1.06236282
0.7822920084,0.8877648056
0.683279329,1.172804413
0.2132349834,0.9771157
0.01024955511,1.131743339
0.605014951,0.9180797726
0.9855563864,1.045514393
0.3913665945,0.8045162324
0.376047207,1.137650503
0.9696248015,0.9122698799
0.6194836106,1.027205865
0.02703189012,0.8229220439
0.1987711033,1.068176149
0.6664941441,0.8818549737
0.797614268,1.154395934
0.3293079939,0.995427664
0.3113786178,1.018007695
0.8429484256,0.8316682328
0.6929374458,1.104636414
0.1605480127,0.9456376508
0.1135336645,1.187885739
0.5212020474,0.9624868292
0.889683824,1.077044372
0.483392966,0.8727300569
0.4576730365,1.089987502
0.927123718,0.8598963231
0.5467655668,1.176405651
0.0762501657,0.9736612741
0.1544804499,1.115911078
0.7497855658,0.9342543483
0.849103719,1.005268076
0.2544427523,0.8447142515
0.3548610229,1.165681565
0.760343167,0.9840553287
0.6407923345,1.055423084
0.2361909701,0.8948875457
0.03317478579,1.040137265
0.5625582356,0.8100765798
0.9635772659,1.126183099
0.4328772072,0.9234570086
0.4325366681,1.039511662
0.9639785644,0.8102261476
0.5640927842,1.125343874
0.03157949261,0.9249676611
0.2348128315,1.167094549
0.6421091622,0.9831184827
0.7609621864,1.055474984
0.3543033293,0.8941643234
0.255014088,1.116939517
0.8484716387,0.932945117
0.7484474815,1.005704474
0.1558792936,0.8443632714
0.07785910089,1.08973419
0.5452179573,0.8604303416
0.9267011629,1.175194087
0.4580342807,0.9747873329
0.4837049991,1.188712759
0.8893110016,0.9609639712
0.5196349695,1.077682183
0.1151615167,0.8725926977
0.1618976453,1.017968003
0.6916490942,0.8324036635
0.8422968769,1.103211225
0.3119688705,0.9465622913
0.3287079437,1.067727546
0.7982750926,0.8821937483
0.6677999077,1.153379703
0.1974045504,0.9967491038
0.02539424039,1.138874276
0.6210599644,0.9111560296
0.9700150359,1.027446971
0.3757182537,0.8223758198
0.3920160867,1.132283544
0.9849681305,0.9178448077
0.6036673747,1.046634432
0.01153590996,0.8032863937
0.2148000048,1.061035338
0.6816534735,0.888787153
0.7819820317,1.172471803
0.3137519918,0.9775582127
0.2955480805,1.011276915
0.8274686616,0.8389982365
0.7089206344,1.122304445
0.1758751329,0.9273725685
0.09788521938,1.182121622
0.5056603542,0.9676523916
0.9057289418,1.096869239
0.498537994,0.8535029139
0.4422228811,1.083047105
0.9112616349,0.8670201432
0.5621242328,1.194285206
0.09220374562,0.9555989422
0.1389701534,1.11034628
0.7341076015,0.9396348696
0.8642782662,1.024895532
0.2704564733,0.8252687164
0.3702339903,1.160502479
0.7762805307,0.9898093559
0.6253278702,1.074667211
0.2203450957,0.8750708889
0.04836554173,1.032824219
0.5785576478,0.8168155439
0.9480507532,1.144434635
0.4172135442,0.9057788651
0.4083222635,1.170180723
0.9413182335,0.9799349871
0.5872357897,1.058762573
0.05531121511,0.891170036
0.2270778613,1.048945492
0.6342193969,0.8008903082
0.7693346264,1.134588494
0.3615556173,0.915430405
0.2791431984,1.099149352
0.8712172639,0.8511125021
0.7252077376,1.184407833
0.1322443094,0.9652802851
0.08526451699,1.120007022
0.5534372767,0.9297796212
0.9179877248,1.008961188
0.4511229908,0.8413991924
0.4918423025,1.020930795
0.8967984337,0.8291483324
0.5126302196,1.106375433
0.1065415386,0.9434961684
0.1848053951,1.19821852
0.71561608,0.9517516088
0.8188125733,1.086998735
0.288578446,0.8631789185
0.320728533,1.148410148
0.7906297678,0.9019126959
0.6749511063,1.036781428
0.2058780799,0.8129432779
0.002888404764,1.07072045
0.5966910645,0.8789074458
0.9938898096,1.156561817
0.3987182081,0.9936642181
0.3843744611,1.051627591
0.9769845512,0.8980975769
0.612129583,1.163253265
0.01869891398,0.9870700534
0.1904348042,1.129223453
0.6591434693,0.9210028879
0.8049706649,1.043372926
0.3376385709,0.8062552657
0.3030470721,1.179030704
0.8355948748,0.9708406325
0.7002967186,1.093589111
0.1688738363,0.8564897381
0.1218637647,1.001838341
0.5285570137,0.8483388212
0.8823345797,1.113067286
0.4750571437,0.9369023614
0.4649803042,1.100815199
0.9353794167,0.9488734104
0.5384850726,1.01555366
0.06896769349,0.8347086739
0.1472012708,1.080058993
0.741501689,0.8703016527
0.8573628003,1.191095678
0.2617467269,0.9586912435
0.3475771202,1.029853965
0.7520621959,0.8200783383
0.64904851,1.141275171
0.2434996683,0.9088402428
0.04047923721,1.150989256
0.5708187474,0.9990291815
0.9552919585,1.065355403
0.4255975513,0.8844799228
0.4276901847,1.124748689
0.9570455011,0.9251233991
0.5769006005,1.010394742
0.04617622308,0.8396848582
0.2494365033,1.094430574
0.654890514,0.8557458367
0.7540555876,1.182997166
0.3494299045,0.9669717304
0.2599979602,1.044190093
0.8552673133,0.8055358492
0.7358075716,1.133165621
0.1411146568,0.9171584722
0.06312855799,1.174910181
0.5325434767,0.9753153853
0.9335314082,1.060159507
0.462984059,0.8894679096
0.4690506905,1.072424097
0.8766823569,0.8775089812
0.5263890997,1.16118295
0.1200653398,0.9889332391
0.1668355623,1.146683614
0.6983686537,0.9033340495
0.8297028029,1.032137407
0.297280468,0.8176971443
0.3432860179,1.196528605
0.8109799717,0.9531607546
0.6609390257,1.082366921
0.1926074792,0.8678961646
0.02062411048,1.022646648
0.6141726179,0.8277132459
0.9827463794,1.111033187
0.3902693866,0.9387529831
0.4047322907,1.003455018
0.999534403,0.8468076102
0.5988513492,1.117625853
0.004694459029,0.9320630398
0.2079239832,1.177436914
0.6768715419,0.9723489545
0.7965142103,1.089053434
